Periodo,Tasa Natalidad bruta
2023-12-31,6.61
2023-11-30,6.63249999999998
2023-10-31,6.655000000000021
2023-09-30,6.6775
2023-08-31,6.69999999999998
2023-07-31,6.722500000000021
2023-06-30,6.745
2023-05-31,6.76749999999998
2023-04-30,6.7900000000000205
2023-03-31,6.8125
2023-02-28,6.8349999999999795
2023-01-31,6.85750000000002
2022-12-31,6.88
2022-11-30,6.8983333333333166
2022-10-31,6.916666666666683
2022-09-30,6.935
2022-08-31,6.953333333333316
2022-07-31,6.9716666666666836
2022-06-30,6.99
2022-05-31,7.008333333333316
2022-04-30,7.026666666666683
2022-03-31,7.045
2022-02-28,7.063333333333317
2022-01-31,7.081666666666683
2021-12-31,7.1
2021-11-30,7.107499999999993
2021-10-31,7.115000000000006
2021-09-30,7.1225
2021-08-31,7.129999999999993
2021-07-31,7.137500000000006
2021-06-30,7.145
2021-05-31,7.152499999999994
2021-04-30,7.160000000000007
2021-03-31,7.1675
2021-02-28,7.174999999999994
2021-01-31,7.182500000000007
2020-12-31,7.19
2020-11-30,7.225833333333301
2020-10-31,7.2616666666667
2020-09-30,7.2975
2020-08-31,7.333333333333301
2020-07-31,7.3691666666666995
2020-06-30,7.405
2020-05-31,7.440833333333301
2020-04-30,7.476666666666699
2020-03-31,7.5125
2020-02-29,7.548333333333301
2020-01-31,7.584166666666699
2019-12-31,7.62
2019-11-30,7.6466666666666425
2019-10-31,7.673333333333358
2019-09-30,7.7
2019-08-31,7.726666666666643
2019-07-31,7.753333333333358
2019-06-30,7.78
2019-05-31,7.806666666666643
2019-04-30,7.833333333333358
2019-03-31,7.86
2019-02-28,7.886666666666643
2019-01-31,7.913333333333358
2018-12-31,7.94
2018-11-30,7.979166666666631
2018-10-31,8.01833333333337
2018-09-30,8.057500000000001
2018-08-31,8.096666666666632
2018-07-31,8.13583333333337
2018-06-30,8.175
2018-05-31,8.214166666666632
2018-04-30,8.25333333333337
2018-03-31,8.2925
2018-02-28,8.331666666666631
2018-01-31,8.370833333333369
2017-12-31,8.41
2017-11-30,8.44249999999997
2017-10-31,8.47500000000003
2017-09-30,8.5075
2017-08-31,8.53999999999997
2017-07-31,8.57250000000003
2017-06-30,8.605
2017-05-31,8.63749999999997
2017-04-30,8.67000000000003
2017-03-31,8.7025
2017-02-28,8.734999999999971
2017-01-31,8.76750000000003
2016-12-31,8.8
2016-11-30,8.818333333333317
2016-10-31,8.836666666666684
2016-09-30,8.855
2016-08-31,8.873333333333317
2016-07-31,8.891666666666683
2016-06-30,8.91
2016-05-31,8.928333333333317
2016-04-30,8.946666666666683
2016-03-31,8.965
2016-02-29,8.983333333333317
2016-01-31,9.001666666666683
2015-12-31,9.02
2015-11-30,9.03333333333332
2015-10-31,9.046666666666678
2015-09-30,9.059999999999999
2015-08-31,9.073333333333322
2015-07-31,9.086666666666678
2015-06-30,9.1
2015-05-31,9.11333333333332
2015-04-30,9.126666666666678
2015-03-31,9.14
2015-02-28,9.153333333333322
2015-01-31,9.166666666666679
2014-12-31,9.18
2014-11-30,9.174166666666672
2014-10-31,9.168333333333328
2014-09-30,9.1625
2014-08-31,9.156666666666672
2014-07-31,9.150833333333328
2014-06-30,9.145
2014-05-31,9.139166666666672
2014-04-30,9.133333333333328
2014-03-31,9.1275
2014-02-28,9.121666666666671
2014-01-31,9.115833333333327
2013-12-31,9.11
2013-11-30,9.159166666666621
2013-10-31,9.208333333333378
2013-09-30,9.2575
2013-08-31,9.306666666666622
2013-07-31,9.355833333333377
2013-06-30,9.405
2013-05-31,9.454166666666621
2013-04-30,9.503333333333376
2013-03-31,9.552499999999998
2013-02-28,9.60166666666662
2013-01-31,9.650833333333377
2012-12-31,9.7
2012-11-30,9.730833333333305
2012-10-31,9.761666666666693
2012-09-30,9.7925
2012-08-31,9.823333333333306
2012-07-31,9.854166666666694
2012-06-30,9.885
2012-05-31,9.915833333333305
2012-04-30,9.946666666666694
2012-03-31,9.9775
2012-02-29,10.008333333333306
2012-01-31,10.039166666666695
2011-12-31,10.07
2011-11-30,10.09916666666664
2011-10-31,10.12833333333336
2011-09-30,10.1575
2011-08-31,10.18666666666664
2011-07-31,10.21583333333336
2011-06-30,10.245000000000001
2011-05-31,10.27416666666664
2011-04-30,10.30333333333336
2011-03-31,10.3325
2011-02-28,10.36166666666664
2011-01-31,10.39083333333336
2010-12-31,10.42
2010-11-30,10.43916666666665
2010-10-31,10.45833333333335
2010-09-30,10.4775
2010-08-31,10.49666666666665
2010-07-31,10.515833333333351
2010-06-30,10.535
2010-05-31,10.55416666666665
2010-04-30,10.57333333333335
2010-03-31,10.592500000000001
2010-02-28,10.61166666666665
2010-01-31,10.630833333333351
2009-12-31,10.65
2009-11-30,10.702499999999953
2009-10-31,10.755000000000049
2009-09-30,10.807500000000001
2009-08-31,10.859999999999951
2009-07-31,10.912500000000048
2009-06-30,10.965
2009-05-31,11.017499999999952
2009-04-30,11.070000000000048
2009-03-31,11.122499999999999
2009-02-28,11.174999999999951
2009-01-31,11.227500000000047
2008-12-31,11.28
2008-11-30,11.245000000000031
2008-10-31,11.209999999999967
2008-09-30,11.174999999999999
2008-08-31,11.14000000000003
2008-07-31,11.104999999999968
2008-06-30,11.07
2008-05-31,11.035000000000032
2008-04-30,10.999999999999968
2008-03-31,10.965
2008-02-29,10.930000000000032
2008-01-31,10.894999999999968
2007-12-31,10.86
2007-11-30,10.859166666666667
2007-10-31,10.858333333333333
2007-09-30,10.8575
2007-08-31,10.856666666666667
2007-07-31,10.855833333333331
2007-06-30,10.855
